Author (Year),Type,Duration,Sample charecteristics,Control vs. Treatment,Sample_size,n_control,n_treatment,Metric,Unit,Data,Variability,Control_Baseline_Mean,Control_Baseline_Variability,Control_Post-intervention_Mean,Control_Post-intervention_Variability,Treatment_Baseline_Mean,Treatment_Baseline_Variability,Treatment_Post-intervention_Mean,Treatment_Post-intervention_Variability,Comment,Funded
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,BMI Values,kg/m2,Mean±SEM,SEM,35.4,1.1,34.1,0.9,33.5,1,32.2,1,NA,
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,Weight Values,Kg,Mean±SEM,SEM,107,5,103,4.5,100,3.7,96,3.3,NA,
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,Total-cholesterol,mmol/L,Mean±SEM,SEM,5.13,0.21,4.79,0.21,5.4,0.23,5.19,0.2,NA,
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,LDL-Cholesterol,mmol/L,Mean±SEM,SEM,3.23,0.2,3.03,0.18,3.39,0.24,3.4,0.17,NA,
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,HDL-Cholesterol,mmol/L,Mean±SEM,SEM,1.34,0.1,1.25,0.07,1.21,0.08,1.18,0.08,NA,
Ziegler (2015),RCT,8 weeks,"18-69 years old, adults, T2D/obese","High fiber, coffee vs. low fiber, red meat, and coffee-free",26,13,13,Triglyceride,mmol/L,Median IQR,IQR,1.52,0.32,1.1,0.79,1.58,2.16,1.61,1.06,NA,
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,BMI Values,kg/m2,Mean±SD,SD,31.1,4.5,28.1,3.9,33.7,5.2,30.8,4.7,"Weight loss diet, also had  8 weeks time point",Meat
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,Weight Values,Kg,Mean±SD,SD,80.2,10.3,72.6,9.2,89.9,14.4,82.1,13.5,"Weight loss diet, also had  8 weeks time point",Meat
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,Total-cholesterol,mmol/L,Mean±SD,SD,4.52,0.87,4.13,0.58,5.27,1.02,4.5,0.94,"Weight loss diet, also had  8 weeks time point",Meat
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.78,0.8,2.5,0.61,3.5,0.88,2.94,0.85,"Weight loss diet, also had  8 weeks time point",Meat
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.18,0.29,1.17,0.25,1.11,0.22,1.06,0.25,"Weight loss diet, also had  8 weeks time point",Meat
Yamashita (1998),RCT,16 weeks,"30-61 years old, women, Overweight/obese",Soy protein vs. beef,36,17,19,Triglyceride,mmol/L,Mean±SD,SD,1.21,0.56,0.99,0.39,1.44,0.71,1.22,0.34,"Weight loss diet, also had  8 weeks time point",Meat
Wolmaran (1991),Cross-Over,6 weeks,"22-45 years old, adults",Fish vs. beef,28,28,28,LDL-Cholesterol,mmol/L,Mean±SD,SD,3.23,0.89,3.06,0.76,3.24,0.94,3.36,0.85,Also had 6 weeks post-experimental data,
Wolmaran (1991),Cross-Over,6 weeks,"22-45 years old, adults",Fish vs. beef,28,28,28,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.68,0.32,1.77,0.36,1.72,0.33,1.71,0.37,Also had 6 weeks post-experimental data,
Wiebe (1984),Cross-Over,3 weeks,"18-27 years old, men",Plant protein vs. beef,8,8,8,LDL-Cholesterol,mg/dl,Mean±SEM,SEM,96,12,82,6,96,12,82,11,No washout period,
Wiebe (1984),Cross-Over,3 weeks,"18-27 years old, men",Plant protein vs. beef,8,8,8,HDL-Cholesterol,mg/dl,Mean±SEM,SEM,53,4,42,2,53,4,48,3,No washout period,
Smith (2001),Cross-Over,6 weeks,"34-58 years old, men",Low beef vs. high beef,10,10,10,Total-cholesterol,mg/dl,Mean,NA,241.1,NA,252.9,NA,229,NA,232.7,NA,4 weeks washout period,Meat
Smith (2001),Cross-Over,6 weeks,"34-58 years old, men",Low beef vs. high beef,10,10,10,LDL-Cholesterol,mg/dl,Mean,NA,172.5,NA,179.5,NA,148.8,NA,144.4,NA,4 weeks washout period,Meat
Smith (2001),Cross-Over,6 weeks,"34-58 years old, men",Low beef vs. high beef,10,10,10,HDL-Cholesterol,mg/dl,Mean,NA,41.7,NA,44.1,NA,41.7,NA,40.2,NA,4 weeks washout period,Meat
Smith (2001),Cross-Over,6 weeks,"34-58 years old, men",Low beef vs. high beef,10,10,10,Triglyceride,mg/dl,Mean,NA,134.1,NA,146.5,NA,192.5,NA,240.3,NA,4 weeks washout period,Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD +,36,36,36,Total-cholesterol,mmol/L,Mean±SEM,SEM,5.46,0.12,5.25,0.09,5.46,0.12,4.96,0.09,"Not all completed each diet n=33,34 ",Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD +,36,36,36,LDL-Cholesterol,mmol/L,Mean±SEM,SEM,3.6,0.1,3.44,0.08,3.6,0.1,3.23,0.07,"Not all completed each diet n=33,34 ",Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD +,36,36,36,HDL-Cholesterol,mmol/L,Mean±SEM,SEM,1.34,0.06,1.32,0.05,1.34,0.06,1.24,0.04,"Not all completed each diet n=33,34 ",Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD +,36,36,36,Triglyceride,mmol/L,Mean±SEM,SEM,1.12,0.05,1.06,0.06,1.12,0.05,1,0.05,"Not all completed each diet n=33,34 ",Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD,36,36,36,Total-cholesterol,mmol/L,Mean±SEM,SEM,5.46,0.12,5.25,0.09,5.46,0.12,4.99,0.09,"Not all completed each diet n=33,34 ",Meat
Roussell (2012),Cross-Over,5 weeks,"30-65 years old, men and women",HAD vs. BOLD,36,36,36,LDL-Cholesterol,mmol/L,Mean±SEM,SEM,3.6,0.1,3.44,0.08,3.6,0.1,3.23,0.07,"Not all completed each diet n=33,34 ",Meat
